CODE_REG,NOM_REGION,CODE_DEPT,NOM_DEPT,NB_PLACES,NB_PLACENAMES
82,Rhône-Alpes,1,Ain,11268,26476
22,Picardie,2,Aisne,6301,19054
93,Provence-Alpes-Côte d'Azur,5,Hautes-Alpes,9661,15782
21,Champagne-Ardenne,10,Aube,3710,12465
91,Languedoc-Roussillon,11,Aude,14816,35745
25,Basse-Normandie,14,Calvados,15318,20755
83,Auvergne,15,Cantal,16596,43714
24,Centre,18,Cher,15716,34284
26,Bourgogne,21,Côte-d'Or,7560,30117
72,Aquitaine,24,Dordogne,18550,28137
82,Rhône-Alpes,26,Drôme,12385,26084
23,Haute-Normandie,27,Eure,11628,19538
24,Centre,28,Eure-et-Loir,7263,15372
91,Languedoc-Roussillon,30,Gard,7412,17191
91,Languedoc-Roussillon,34,Hérault,6482,15041
82,Rhône-Alpes,42,Loire,12613,42009
83,Auvergne,43,Haute-Loire,9269,26678
21,Champagne-Ardenne,51,Marne,6626,22395
21,Champagne-Ardenne,52,Haute-Marne,4139,11923
41,Lorraine,54,Meurthe-et-Moselle,3926,10077
41,Lorraine,55,Meuse,6079,12923
53,Bretagne,56,Morbihan,20742,22448
41,Lorraine,57,Moselle,3662,13390
26,Bourgogne,58,Nièvre,9276,16438
31,Nord-Pas-de-Calais,62,Pas-de-Calais,10667,30132
72,Aquitaine,64,Pyrénées-Atlantiques,5799,11213
73,Midi-Pyrénées,65,Hautes-Pyrénées,6277,12631
42,Alsace,68,Haut-Rhin,9247,16588
26,Bourgogne,71,Saône-et-Loire,20208,89377
52,Pays de la Loire,72,Sarthe,49114,79945
23,Haute-Normandie,76,Seine-Maritime,31048,113790
11,Île-de-France,77,Seine-et-Marne,17402,46620
54,Poitou-Charentes,79,Deux-Sèvres,11651,24068
22,Picardie,80,Somme,5379,38111
54,Poitou-Charentes,86,Vienne,11934,34869
41,Lorraine,88,Vosges,17258,34032
26,Bourgogne,89,Yonne,5550,10133
